year,Total Emissions,Net Emissions,Energy,fuel combustion,Dealing,Carbon dioxide transport and storage,mineral industry,chemical industry,metal industry,non-energy fuels,Electronics Industry,ozone-depleting
1990,310578.3383,271615.0928,234475.7526,223481.609,10994.14357,0,16386.70859,7820.76737,13065.2821,356.72414,0,0
1991,341241.2697,306225.6006,257328.6874,246864.6416,10464.04587,0,19523.83459,9697.2297,14268.56635,360.46519,0,0
1992,368809.5715,334622.7203,273752.0707,264236.124,9515.94662,0,21749.27038,16117.08454,14869.87192,388.23365,0,1.56902
1993,406802.1504,374169.2284,303458.935,294738.3172,8720.6178,0,25352.70398,17521.11838,16695.66615,409.06607,0,4.28942
1994,432769.283,397753.2151,323158.101,315376.0665,7782.03455,0,27687.11679,19076.25093,16299.27864,446.58635,0,238.75981
1995,464497.6333,431236.4475,347962.4411,340964.7672,6997.67386,0,29093.19548,20580.92258,17494.6623,482.9488,0,572.94363
1996,501079.1371,464394.6467,381519.4078,374951.0049,6568.40295,0,29305.51387,22026.46477,18636.23462,530.05091,0,925.00025
1997,526063.9285,484380.562,398735.8426,392509.7409,6226.1017,0,30433.50549,26040.31783,17768.24245,529.86702,2225.66321,1356.25375
1998,460219.6903,410168.4578,340200.6514,334224.2084,5976.44303,0,23929.3322,26935.27693,17416.13319,408.71004,2138.02655,1584.37272
1999,500569.6169,442315.488,372901.3457,367093.3572,5807.98842,0,24996.35358,30154.29895,17322.98385,485.67787,2745.21398,1995.88338
2000,533453.4728,473061.3084,402242.5522,396534.4924,5708.05987,0,26101.30274,30099.38809,18497.92556,510.55011,3256.87336,2464.70768
2001,550812.4781,490089.6646,415071.6015,409514.2765,5557.32504,0,27071.24664,32328.00351,19023.5033,485.63583,3002.79669,2878.24482
2002,570977.7696,512616.4198,432455.5383,427242.4688,5213.06942,0,28485.05698,33998.81282,18604.87919,486.14962,3062.82444,3432.24256
2003,584476.0144,526402.4334,442261.2235,437121.6343,5139.58922,0,29471.31801,35451.35029,18923.90523,523.19611,3620.92529,3870.3535
2004,595764.5947,536330.0633,451612.6487,446579.5789,5033.0698,0,27768.27478,38498.00461,19500.74227,536.056,4576.77413,4252.41329
2005,594422.1028,536941.522,448168.8757,443255.7216,4913.15413,0,25097.93321,38829.67109,23182.05982,534.79802,5053.10761,4583.64245
2006,607008.2021,548343.5811,458739.4643,453920.9917,4818.47259,0,24905.71682,39406.77936,23500.55295,520.45788,5911.92904,4781.40319
2007,613628.8466,554265.5001,477326.5814,472558.4569,4768.12445,0,28165.26589,27208.96828,20297.10841,522.48628,6868.07052,5133.35315
2008,628765.9592,568477.0108,490655.0684,485963.02,4692.0484,0,28819.51026,26013.62759,21585.18758,517.62534,7449.22217,5776.63234
2009,632655.3319,572586.6444,499155.9889,494603.5517,4552.4372,0,28089.12045,24710.21117,18267.50619,470.00741,7772.92274,6114.65501
2010,689789.1575,632427.7827,550333.5314,545924.681,4408.85042,0,28334.52035,25134.41128,20490.26757,545.53467,8861.47805,7385.10053
2011,721638.204,665101.1941,580221.0873,575832.2566,4388.83064,0,29172.78762,25608.57466,22103.87354,544.59141,8617.99326,8740.68585
2012,720241.1503,669678.6325,575024.4808,570624.8599,4399.6209,0,29364.92197,27160.88012,21791.19618,556.57652,9047.72031,10187.54296
2013,728409.1183,682146.303,569701.7155,565485.6659,4216.04964,0,29451.70313,26432.49365,33313.22645,573.3569,9729.7569,12185.31984
2014,724307.638,677165.027,560877.4606,556806.2669,4071.1937,0,29893.39887,27327.67639,33874.57493,583.01643,10763.27698,14184.19428
2015,726104.8014,678331.9001,562925.4834,558943.3336,3982.14986,0,30550.1457,27934.74402,33745.87774,606.56552,8208.79942,15899.13949
2016,737407.9621,689192.2405,575019.9415,571076.0275,3943.91398,0,32196.89988,30443.70391,28456.56468,605.5375,5841.87478,17972.63407
2017,759107.7695,716258.9588,587475.3589,583709.5133,3765.84558,0,31963.44369,31268.07393,33138.1119,620.59063,7363.0412,20210.23499
2018,783873.5691,742309.9436,612119.8213,608431.8191,3688.00212,0,30453.91666,31445.51457,31747.60601,599.04705,8673.11815,23132.29645
2019,759396.757,720742.4409,586435.2,582881.5884,3553.61159,0,30539.66081,30723.96053,31935.22852,569.54343,8034.94518,24721.09084
2020,712958.7753,674120.2706,544600.2134,541142.1307,3458.08268,0,27967.38921,29144.35447,29277.31149,548.75445,8988.44496,27207.65636
2021,740976.0903,701974.8753,566782.4268,563361.9424,3420.48443,0,29005.85992,32798.43577,28190.54075,573.37785,8867.03324,29424.83784
2022,724294.0625,686461.9115,551889.3261,548487.4181,3401.90802,0,28421.12994,31823.93465,27975.49619,613.44759,6955.99848,32215.94436
