year,net emission
1990,310578.3383
1991,341241.2697
1992,368809.5715
1993,406802.1504
1994,432769.283
1995,464497.6333
1996,501079.1371
1997,526063.9285
1998,460219.6903
1999,500569.6169
2000,533453.4728
2001,550812.4781
2002,570977.7696
2003,584476.0144
2004,595764.5947
2005,594422.1028
2006,607008.2021
2007,613628.8466
2008,628765.9592
2009,632655.3319
2010,689789.1575
2011,721638.204
2012,720241.1503
2013,728409.1183
2014,724307.638
2015,726104.8014
2016,737407.9621
2017,759107.7695
2018,783873.5691
2019,759396.757
2020,712958.7753
2021,740976.0903
